epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49518,1.08265,4.20251,1.10644,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000155782,0.000155782,0.000155782
2,8.13425,0.94587,3.478,1.02471,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000312892,0.000312892,0.000312892
3,11.6543,0.93422,2.48829,1.02563,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000468431,0.000468431,0.000468431
4,15.2639,0.90409,1.93829,1.02265,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000468931,0.000468931,0.000468931
5,18.8498,0.8904,1.60909,1.01228,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000466575,0.000466575,0.000466575
6,22.3713,0.81633,1.39362,0.97818,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000464219,0.000464219,0.000464219
7,25.9297,0.80389,1.2976,0.97228,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000461863,0.000461863,0.000461863
8,29.5914,0.79817,1.23947,0.96088,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000459507,0.000459507,0.000459507
9,33.1148,0.7649,1.15579,0.9439,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.00045715,0.00045715,0.00045715
10,36.6475,0.73433,1.10606,0.94517,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000454794,0.000454794,0.000454794
11,40.2695,0.73402,1.04797,0.9397,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000452438,0.000452438,0.000452438
12,43.8002,0.73415,1.01517,0.93437,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000450082,0.000450082,0.000450082
13,47.5723,0.69814,0.99207,0.91348,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000447726,0.000447726,0.000447726
14,51.2514,0.71987,0.9946,0.92791,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000445369,0.000445369,0.000445369
15,54.8409,0.69105,0.95377,0.91132,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000443013,0.000443013,0.000443013
16,58.4018,0.67688,0.9194,0.91246,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000440657,0.000440657,0.000440657
17,62.013,0.66694,0.90648,0.91062,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000438301,0.000438301,0.000438301
18,65.5958,0.67521,0.90079,0.9102,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000435945,0.000435945,0.000435945
19,69.1694,0.65785,0.8833,0.90251,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000433588,0.000433588,0.000433588
20,72.7655,0.66973,0.87162,0.90787,0.0626,0.20779,0.09891,0.07716,0.90971,3.93807,0.92153,0.000431232,0.000431232,0.000431232
21,76.9541,0.657,0.84609,0.90225,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000428876,0.000428876,0.000428876
22,80.616,0.62079,0.82821,0.89383,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.00042652,0.00042652,0.00042652
23,84.2309,0.64858,0.79912,0.90443,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000424164,0.000424164,0.000424164
24,87.8481,0.62232,0.786,0.8928,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000421807,0.000421807,0.000421807
25,91.4738,0.62245,0.77301,0.8938,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000419451,0.000419451,0.000419451
26,95.1559,0.6134,0.74815,0.8856,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000417095,0.000417095,0.000417095
27,98.857,0.63166,0.74898,0.89718,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000414739,0.000414739,0.000414739
28,102.459,0.62231,0.75717,0.88696,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000412383,0.000412383,0.000412383
29,106.13,0.6034,0.71097,0.88775,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000410026,0.000410026,0.000410026
30,109.769,0.59609,0.70864,0.88269,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.00040767,0.00040767,0.00040767
31,113.479,0.59068,0.71463,0.88294,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000405314,0.000405314,0.000405314
32,117.129,0.60034,0.69218,0.88919,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000402958,0.000402958,0.000402958
33,121.299,0.61021,0.69487,0.88185,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000400602,0.000400602,0.000400602
34,125.048,0.60344,0.6897,0.89192,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000398245,0.000398245,0.000398245
35,128.846,0.59406,0.66617,0.88367,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000395889,0.000395889,0.000395889
36,132.552,0.58616,0.67833,0.88658,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000393533,0.000393533,0.000393533
37,136.235,0.58763,0.66815,0.88282,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000391177,0.000391177,0.000391177
38,139.927,0.58642,0.65171,0.87744,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000388821,0.000388821,0.000388821
39,143.759,0.59711,0.65523,0.88676,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000386464,0.000386464,0.000386464
40,147.414,0.57016,0.62752,0.87514,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000384108,0.000384108,0.000384108
41,151.608,0.56111,0.62585,0.87242,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000381752,0.000381752,0.000381752
42,155.501,0.56442,0.61734,0.86742,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000379396,0.000379396,0.000379396
43,159.302,0.56991,0.6197,0.86877,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.00037704,0.00037704,0.00037704
44,163.091,0.56736,0.61801,0.86994,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000374683,0.000374683,0.000374683
45,166.879,0.55604,0.58824,0.8668,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000372327,0.000372327,0.000372327
46,170.751,0.54838,0.6026,0.86736,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000369971,0.000369971,0.000369971
47,174.548,0.55744,0.59064,0.86968,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000367615,0.000367615,0.000367615
48,178.392,0.56079,0.57876,0.86877,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000365259,0.000365259,0.000365259
49,182.267,0.55886,0.58657,0.88129,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000362902,0.000362902,0.000362902
50,186.077,0.55042,0.56706,0.87381,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000360546,0.000360546,0.000360546
51,189.854,0.54498,0.5618,0.87369,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.00035819,0.00035819,0.00035819
52,193.788,0.55255,0.55775,0.86898,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000355834,0.000355834,0.000355834
53,197.651,0.55704,0.5596,0.87734,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000353478,0.000353478,0.000353478
54,201.517,0.5439,0.5326,0.87373,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000351121,0.000351121,0.000351121
55,205.35,0.54415,0.53931,0.86569,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000348765,0.000348765,0.000348765
56,209.259,0.5406,0.53009,0.8658,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000346409,0.000346409,0.000346409
57,213.038,0.5193,0.52229,0.87101,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000344053,0.000344053,0.000344053
58,216.901,0.52518,0.5268,0.86191,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000341697,0.000341697,0.000341697
59,220.792,0.5201,0.52177,0.85959,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.00033934,0.00033934,0.00033934
60,224.652,0.52562,0.51995,0.85998,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000336984,0.000336984,0.000336984
61,229.321,0.52699,0.51247,0.85598,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000334628,0.000334628,0.000334628
62,233.152,0.50996,0.50262,0.8586,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000332272,0.000332272,0.000332272
63,237.01,0.51801,0.50656,0.8589,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000329916,0.000329916,0.000329916
64,240.91,0.52044,0.51068,0.85656,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000327559,0.000327559,0.000327559
65,244.732,0.51302,0.48893,0.85416,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000325203,0.000325203,0.000325203
66,248.683,0.52521,0.49235,0.86186,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000322847,0.000322847,0.000322847
67,252.561,0.51544,0.48379,0.85415,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000320491,0.000320491,0.000320491
68,256.46,0.50255,0.4859,0.8509,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000318135,0.000318135,0.000318135
69,260.407,0.50566,0.47733,0.85139,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000315778,0.000315778,0.000315778
70,264.384,0.50615,0.48151,0.85822,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000313422,0.000313422,0.000313422
